Date,Open,High,Low,Close,Adj Close,Volume,Ticker,EMA12,EMA26,MACD,MA5
2025-05-30,757557.0,758243.0,750285.0,757400.0,757400.0,300,BRK-A,761207.2518026447,767107.9527342174,-5900.700931572705,757080.4
2025-06-02,753280.0,754740.0,749040.0,754740.0,754740.0,600,BRK-A,760212.2899868531,766191.8080872383,-5979.518100385205,757127.4
2025-06-03,751958.0,753146.0,740100.0,746200.0,746200.0,700,BRK-A,758056.5530657988,764710.9334141095,-6654.380348310689,754347.4
2025-06-04,744293.0,744293.0,736650.0,737820.0,737820.0,400,BRK-A,754943.237209522,762719.0124204719,-7775.775210949825,750947.4
2025-06-05,734037.0,736585.0,729050.0,732953.0,732953.0,400,BRK-A,751560.1237926725,760514.122611548,-8953.998818875523,745822.6
2025-06-06,735218.0,743926.0,735218.0,740396.0,740396.0,400,BRK-A,749842.5662861075,759023.8913069889,-9181.32502088137,742421.8
2025-06-09,741502.0,741502.0,733510.0,739925.0,739925.0,300,BRK-A,748316.7868574755,757609.1586175823,-9292.371760106762,739458.8
2025-06-10,737601.0,739512.0,734336.0,736000.0,736000.0,300,BRK-A,746421.8965717101,756008.4802014651,-9586.583629754954,737418.8
2025-06-11,737408.0,739205.0,730230.0,732120.0,732120.0,300,BRK-A,744221.6047914469,754238.9631495047,-10017.358358057798,736278.8
2025-06-12,729200.0,735000.0,726821.0,735000.0,735000.0,200,BRK-A,742802.8963619936,752813.8547680599,-10010.95840606629,736688.2
2025-06-13,727532.0,736313.0,727532.0,731220.0,731220.0,400,BRK-A,741020.9123063023,751214.3099704259,-10193.397664123564,734853.0
2025-06-16,733860.0,737634.0,732030.0,735920.0,735920.0,400,BRK-A,740236.1565668712,750081.3981207648,-9845.241553893546,734052.0
2025-06-17,734361.0,734361.0,725000.0,725400.0,725400.0,300,BRK-A,737953.6709411987,748253.1464081155,-10299.475466916803,731932.0
2025-06-18,725380.0,729509.0,724298.0,728200.0,728200.0,300,BRK-A,736453.1061810143,746767.7281556625,-10314.62197464821,731148.0
2025-06-20,727715.0,730000.0,725000.0,730000.0,730000.0,500,BRK-A,735460.3206147044,745525.6742182061,-10065.353603501688,730148.0
2025-06-23,727471.0,732515.0,723000.0,732468.0,732468.0,500,BRK-A,734999.9635970576,744558.4390909316,-9558.475493873935,730397.6
2025-06-24,734118.0,746550.0,732426.0,740085.0,740085.0,400,BRK-A,735782.2768898179,744227.073232344,-8444.796342526097,731230.6
2025-06-25,742495.0,742535.0,730000.0,730000.0,730000.0,400,BRK-A,734892.695829846,743173.2159558741,-8280.520126028103,732150.6
2025-06-26,729200.0,732541.0,726736.0,729808.0,729808.0,400,BRK-A,734110.4349329466,742183.1999591426,-8072.7650261960225,732472.2
2025-06-27,729163.0,735000.0,727296.0,730940.0,730940.0,400,BRK-A,733622.6757124932,741350.3703325394,-7727.6946200461825,732660.2
2025-06-30,730204.0,731999.0,726203.0,728800.0,728800.0,400,BRK-A,732880.725602879,740420.7132708698,-7539.987667990848,731926.6
